strategy,strategy_group,cagr,sharpe,max_drawdown,calmar,average_turnover,total_return,volatility,hit_rate
detime_macd_12_26_9,detime,0.07426503773794191,1.0310263772535275,-0.1177051186848952,0.6309414456031822,0.01488095238095238,0.3318207190330378,0.0719997839725558,0.11210317460317461
detime_trend_cycle_volume,detime,0.0553176637226398,0.8935196061887981,-0.036725573383347254,1.5062437050396846,0.002976190476190476,0.2403173801998495,0.06239449023451246,0.03373015873015873
buy_hold,classical,0.17724159854858978,0.8469063364628733,-0.1918460834895317,0.9238739479310829,0.0,0.9207126603598297,0.2212283570787907,0.5208333333333334
detime_trend_slope,detime,0.09966281587559545,0.8094830055116775,-0.12682203714103668,0.7858477763195215,0.006944444444444444,0.4623056569651578,0.12736727202819298,0.2371031746031746
detime_sma_20_100_trend_volume,detime,0.09407201273705934,0.7858917770279535,-0.12682203714103557,0.7417639304472317,0.007936507936507936,0.4327936043578784,0.12419339092752421,0.20833333333333334
detime_trend_pullback,detime,0.014617541134929635,0.4114133397612988,-0.07515765139721275,0.19449172324019337,0.002976190476190476,0.05976473871539656,0.0369338968704162,0.03373015873015873
classic_sma_50_120,classical,0.05044252534791149,0.3719180325158552,-0.27272428217086,0.18495795440872984,0.012896825396825396,0.21755665939425262,0.17198533465395072,0.3531746031746032
classic_momentum_63,classical,0.048693762360913606,0.35146626304244266,-0.2227420907558132,0.2186105113572603,0.05853174603174603,0.2094689941427912,0.18085117053772823,0.30853174603174605
classic_macd_12_26_9,classical,0.03740283583684234,0.3131605780717945,-0.16119035285509742,0.23204140430454756,0.08134920634920635,0.15821643534168417,0.15418583062142172,0.24702380952380953
classic_sma_20_100,classical,0.01255309683454886,0.15807037397700552,-0.2797335630751904,0.044875190150760275,0.016865079365079364,0.051165806090607946,0.16804193700347375,0.3253968253968254
classic_multi_ma_20_50_100,classical,0.009044504387696106,0.13374496398549804,-0.267685037679282,0.03378785929205532,0.0248015873015873,0.0366718020727661,0.1336534335298309,0.20833333333333334
