strategy,strategy_group,cagr,sharpe,max_drawdown,calmar,average_turnover,average_gross_exposure,total_return,volatility,hit_rate,column
classic_bollinger_20_2z,classical_mean_reversion,0.1576000072148529,0.7555449995773142,-0.4422947008443242,0.3563235257261738,0.1766325618431629,0.6516800757217227,2.4114039872928315,0.2280205091193987,0.3558920965451964,03_residual_mean_reversion
detime_residual_band_1p25z,detime_residual_mean_reversion,0.15174850645811566,0.7277597637968469,-0.398969048299588,0.3803515764064156,0.044122552002343766,0.7420728821580691,2.26948305287827,0.23064895126945484,0.40037860861334595,03_residual_mean_reversion
detime_residual_z_1p0_cycle_volume,detime_residual_mean_reversion,0.13787393131378267,0.6766721574465119,-0.3941970755286721,0.3497588893293409,0.04889009082099475,0.7818267865593942,1.9535544238569842,0.22999522961645424,0.4197823000473261,03_residual_mean_reversion
detime_residual_rsi_14,detime_residual_mean_reversion,0.10003882633545347,0.5617434827173374,-0.3543355622964952,0.282327931430559,0.05138297312930536,0.7155702792238523,1.2243489096105367,0.20856482779090663,0.38665404637955514,03_residual_mean_reversion
classic_apo_10_40_reversion,classical_mean_reversion,0.10758882972227402,0.56024549666193,-0.41176253953588116,0.26128853256914275,0.08833712693154246,0.8480832938949361,1.3556499971207252,0.2294168795951662,0.45243729294841456,03_residual_mean_reversion
classic_price_zscore_63_1p5z,classical_mean_reversion,0.07361294760672155,0.42533551708371997,-0.44448115552455103,0.16561545229031766,0.09147867697323449,0.7150970184571699,0.8140775754222818,0.2289042004388887,0.38476100331282537,03_residual_mean_reversion
detime_trend_pullback_residual,detime_residual_mean_reversion,0.06212228097594941,0.38411027421599325,-0.3562963584032597,0.17435564386442257,0.04746016721880423,0.7520113582584004,0.6575676737185656,0.22020971957465077,0.3951727401798391,03_residual_mean_reversion
classic_rsi_14_reversion,classical_mean_reversion,0.04820453278884784,0.3299303038672648,-0.4991035418663051,0.09658222942797788,0.06005115723525567,0.39990534784666354,0.4840152621522926,0.20865975824760927,0.21107430194036914,03_residual_mean_reversion
classic_donchian_55_20,classical_breakout,0.20669287928772917,1.1230240645816747,-0.23719485814470798,0.8714053959872514,0.06867915173641628,0.9029815428300993,3.8326158337772958,0.18220052842664872,0.5073355418835779,04_breakout
classic_turtle_55_20_atr_cap,classical_breakout,0.20669287928772917,1.1230240645816747,-0.23719485814470798,0.8714053959872514,0.06867915173641628,0.9029815428300993,3.8326158337772958,0.18220052842664872,0.5073355418835779,04_breakout
classic_volatility_breakout_20,classical_breakout,0.20333095288036063,1.0728653343335124,-0.29364478398513916,0.6924384970197558,0.18813392528489548,0.9536204448651207,3.720875894795692,0.18933445518994674,0.5286322763842878,04_breakout
detime_breakout_trend_volume_no_cycle_ablation,detime_breakout,0.18595322756759458,1.0723355091851459,-0.24829980177526756,0.7489060653213814,0.14637617470083158,0.6890676762896356,3.1787907399995152,0.1731285336194263,0.3762423095125414,04_breakout
detime_donchian_55_20_trend_cycle_volume,detime_breakout,0.18520980855950442,1.0687774393954876,-0.24829980177526756,0.7459120274575775,0.14590291393414914,0.6885944155229532,3.156877296631368,0.1731156978370645,0.375769048745859,04_breakout
detime_turtle_55_20_volume_shock,detime_breakout,0.18160258186148082,1.0414907249940661,-0.24426156490858297,0.7434758797580256,0.10757217226691908,0.6994794131566493,3.0519791261483453,0.17504692903173474,0.38334122101277807,04_breakout
classic_donchian_20_10,classical_breakout,0.1627027177195961,0.8771149602474654,-0.3484087121439793,0.466988086257612,0.1313193458484514,0.9517274017983909,2.539563838544961,0.19332972488926892,0.5272124940842404,04_breakout
detime_donchian_20_10_trend_cycle_volume,detime_breakout,0.10027921742617751,0.6282554611541381,-0.3682613504261071,0.27230448514389755,0.2239729114551642,0.7094178892569806,1.228427993909448,0.17726131529166345,0.3762423095125414,04_breakout
