strategy,total_return,cagr,volatility,sharpe,max_drawdown,calmar,hit_rate,average_turnover,average_gross_exposure,fee_bps,slippage_bps,periods_per_year
classic_ma_trend_50_200_top,0.07895905606298181,0.054638144984715975,0.08308309846730012,0.6818493184588843,-0.07273126157765697,0.7512332908783312,0.36944444444444446,0.03333333333333333,1.0875,1.0,2.0,252.0
buy_hold_equal_weight,0.033208535616998436,0.0231318154050415,0.0644112198799464,0.3872428131552385,-0.07345276720259708,0.31492095241612117,0.5083333333333333,0.0,1.0,1.0,2.0,252.0
classic_momentum_252_21_top,0.016146797024955584,0.011275572202019024,0.035559370605461944,0.3331254759907353,-0.03915338866616558,0.28798458029158575,0.09444444444444444,0.008333333333333333,0.2791666666666667,1.0,2.0,252.0
classic_inverse_vol_equal_weight,0.03131033997890342,0.02181567453247002,0.09147113230758656,0.2816350459439014,-0.0966213254815449,0.22578529557263122,0.4666666666666667,0.01236459371409614,1.4,1.0,2.0,252.0
classic_momentum_63_top,0.00194666437270552,0.0013622674984381522,0.09780778613954479,0.0627770626683071,-0.0771652761951328,0.017653892600517605,0.39166666666666666,0.0625,1.2333333333333334,1.0,2.0,252.0
detime_rotation_monthly_low_turnover,-0.003069628569132621,-0.00214973069181279,0.11011551060213472,0.035532182136165665,-0.11345169520861198,-0.01894842283193673,0.49444444444444446,0.00872612507789263,1.396737770563918,1.0,2.0,252.0
detime_rotation_no_voltarget_ablation,-0.005196307482097429,-0.003640256809855469,0.07775579301170493,-0.008017477494720393,-0.07683219199117242,-0.047379317386567775,0.5027777777777778,0.002777777777777778,0.9888888888888889,1.0,2.0,252.0
detime_rotation_top_trend_cycle_residual_volume,-0.01403616413783837,-0.009846128203399362,0.11482400972582944,-0.028739505742347626,-0.11363350239865289,-0.0866481098933028,0.5027777777777778,0.004166666666666667,1.4625,1.0,2.0,252.0
detime_rotation_long_short,-0.06022071583171695,-0.04254558245305784,0.08260258590266498,-0.4850528463112684,-0.15162490455380928,-0.2805975877001069,0.4638888888888889,0.01652705855570329,1.4040288513863028,1.0,2.0,252.0
