method,Date,asset,trend,cycle,trend_strength,cycle_position,residual_z,volume_residual_z
STL,2026-05-22,SPY,6.531603711743687,0.0633804102543542,0.021728352837032755,1.6647793464227598,1.3130356435944561,-0.35077362212915986
STL,2026-05-26,SPY,6.531603711743687,0.0633804102543542,0.021728352837032755,1.6647793464227598,1.3130356435944561,-0.35077362212915986
STL,2026-05-27,SPY,6.531603711743687,0.0633804102543542,0.021728352837032755,1.6647793464227598,1.3130356435944561,-0.35077362212915986
STL,2026-05-28,SPY,6.531603711743687,0.0633804102543542,0.021728352837032755,1.6647793464227598,1.3130356435944561,-0.35077362212915986
STL,2026-05-29,SPY,6.531603711743687,0.0633804102543542,0.021728352837032755,1.6647793464227598,1.3130356435944561,-0.35077362212915986
SSA,2026-05-22,SPY,6.543178528095196,0.06474237954160585,0.1875041706441064,1.6488089261591383,-0.14043013969449167,0.09729139138706262
SSA,2026-05-26,SPY,6.543178528095196,0.06474237954160585,0.1875041706441064,1.6488089261591383,-0.14043013969449167,0.09729139138706262
SSA,2026-05-27,SPY,6.543178528095196,0.06474237954160585,0.1875041706441064,1.6488089261591383,-0.14043013969449167,0.09729139138706262
SSA,2026-05-28,SPY,6.543178528095196,0.06474237954160585,0.1875041706441064,1.6488089261591383,-0.14043013969449167,0.09729139138706262
SSA,2026-05-29,SPY,6.543178528095196,0.06474237954160585,0.1875041706441064,1.6488089261591383,-0.14043013969449167,0.09729139138706262
