strategy,total_return,cagr,sharpe,max_drawdown,calmar,volatility,hit_rate,trade_win_rate,average_trade_directional_return,orders,round_trips,median_bars_held,average_turnover,average_gross_exposure,fee_bps,slippage_bps,periods_per_year,execution_model
buy_hold,2.1930974044798783,0.14850583724991306,0.8440473705737213,-0.3204895550060126,0.46337184763206085,0.18429844422754826,0.5560814008518694,,,1.0,0.0,,0.0,1.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
classic_sma_20_100,0.901612609126712,0.07966388331297036,0.6477535662315143,-0.27502640260920685,0.28965903839482326,0.13185634002295724,0.41362991008045435,0.5555555555555556,0.08325963404058022,19.0,9.0,134.0,0.008991954566966399,0.7420728821580691,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
classic_macd_12_26_9,0.5448118540655496,0.05323583462186843,0.5293863710634285,-0.1664655184550582,0.31980097209285335,0.10927420526328975,0.281590156176053,0.45263157894736844,0.006547030204023081,190.0,95.0,9.0,0.08991954566966398,0.5191670610506389,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
classic_turtle_55_20,0.4184420150505679,0.042570206458426796,0.4865704828091433,-0.2456080249171252,0.17332579614526494,0.09497204879404134,0.2943681968764789,0.65,0.016711530870367326,41.0,20.0,54.5,0.019403691433980123,0.5328916232844297,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
detime_STL_trend_following,0.12571960234363466,0.01422347209822461,0.36569624975292814,-0.11425283085805948,0.12449120071164761,0.04091758915050963,0.29673450070989116,0.6666666666666666,0.06639390525894738,59.0,6.0,157.5,0.0025663418034011956,0.17715470698609304,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
detime_SSA_oscillation_reversion,0.16854490358509855,0.01874973075412334,0.33608196185288997,-0.21504881886282212,0.08718825266407829,0.060814799808783175,0.07998106956933271,0.7142857142857143,0.04261321975414166,21.0,7.0,42.0,0.004897753365896047,0.08340009296459541,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
detime_SSA_hybrid_regime,0.16854490358509855,0.01874973075412334,0.33608196185288997,-0.21504881886282212,0.08718825266407829,0.060814799808783175,0.07998106956933271,0.7142857142857143,0.04261321975414166,21.0,7.0,42.0,0.004897753365896047,0.08340009296459541,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
detime_SSA_trend_following,0.07110507633697294,0.008225841917384846,0.29302557784617517,-0.06129256660817928,0.1342061912657307,0.029439280450204133,0.18599148130619972,0.6,0.03518756866409696,38.0,5.0,126.0,0.001981425847894043,0.11047178045450273,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
classic_rsi_14,0.06480179427344468,0.007516392051817977,0.12261146699710809,-0.334801247329813,0.022450310779199616,0.11701008369000772,0.14387127307146239,0.6206896551724138,0.006869792822292042,59.0,29.0,17.0,0.027922385234264078,0.3237103644107903,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
classic_bollinger_20_2,0.04251363836724731,0.004977780634559004,0.10668093390459875,-0.30255459035353527,0.016452504087749793,0.14380013025135685,0.2498816848083294,0.684931506849315,0.0038350731803042403,142.0,73.0,13.0,0.06956933270231898,0.5291055371509702,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
detime_STL_oscillation_reversion,-0.014312640933970555,-0.0017178062618988799,-0.02895858084166495,-0.13601478856344396,-0.012629555065606788,0.03645462352609428,0.054424988168480834,0.6,0.006880335528138437,22.0,10.0,21.0,0.007275296896698134,0.09046570988842455,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
detime_STL_hybrid_regime,-0.014312640933970555,-0.0017178062618988799,-0.02895858084166495,-0.13601478856344396,-0.012629555065606788,0.03645462352609428,0.054424988168480834,0.6,0.006880335528138437,22.0,10.0,21.0,0.007275296896698134,0.09046570988842455,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
